EMSR_AOI,folderPath,startDate,endDate,height,width,sizeImage,burnedPixel,cloudPixel,countOverlap,percentageCloud,percentageOverlap,Type
EMSR443_AOI01_01,../../data/dataOptimal/EMSR443/AOI01/EMSR443_AOI01_01,2020-06-22T13:00:00Z,2020-06-24T13:00:00Z,873,546,476658,228801,0,0,0.0,0.0,GRA
EMSR443_AOI01_01,../../data/dataOptimal/EMSR443/AOI01/EMSR443_AOI01_01,2020-06-22T13:00:00Z,2020-06-24T13:00:00Z,873,546,476658,228801,0,0,0.0,0.0,DEL
EMSR230_AOI01_01,../../data/dataOptimal/EMSR230/AOI01/EMSR230_AOI01_01,2017-08-09T10:00:00Z,2017-08-19T10:00:00Z,580,589,341620,45445,0,0,0.0,0.0,GRA
EMSR230_AOI01_01,../../data/dataOptimal/EMSR230/AOI01/EMSR230_AOI01_01,2017-08-09T10:00:00Z,2017-08-19T10:00:00Z,580,589,341620,45445,0,0,0.0,0.0,DEL
EMSR250_AOI01_03,../../data/dataOptimal/EMSR250/AOI01/EMSR250_AOI01_03,2017-10-21T10:00:00Z,2017-10-23T10:00:00Z,1448,1127,1631896,17250,242,0,0.01,0.0,GRA
EMSR250_AOI01_03,../../data/dataOptimal/EMSR250/AOI01/EMSR250_AOI01_03,2017-10-21T10:00:00Z,2017-10-23T10:00:00Z,1448,1127,1631896,17250,242,0,0.01,0.0,DEL
EMSR250_AOI01_01,../../data/dataOptimal/EMSR250/AOI01/EMSR250_AOI01_01,2017-10-21T10:00:00Z,2017-10-23T10:00:00Z,1448,1131,1637688,535047,58,0,0.0,0.0,GRA
EMSR250_AOI01_01,../../data/dataOptimal/EMSR250/AOI01/EMSR250_AOI01_01,2017-10-21T10:00:00Z,2017-10-23T10:00:00Z,1448,1131,1637688,535047,58,0,0.0,0.0,DEL
EMSR250_AOI01_06,../../data/dataOptimal/EMSR250/AOI01/EMSR250_AOI01_06,2017-10-21T10:00:00Z,2017-10-23T10:00:00Z,1450,1125,1631250,605493,67,28,0.0,0.0,GRA
EMSR250_AOI01_06,../../data/dataOptimal/EMSR250/AOI01/EMSR250_AOI01_06,2017-10-21T10:00:00Z,2017-10-23T10:00:00Z,1450,1125,1631250,605493,67,28,0.0,0.0,DEL
