EMSR,AOI,folderType,folderPath,activationDate,suggested_startDate,suggested_endDate
EMSR207,AOI01,dataColomba,dataColomba/,2017-06-17T00:00:00.000,2017-06-20T10:00:00Z,2017-07-05T10:00:00Z
EMSR209,AOI01,dataColomba,dataColomba/,2017-06-24T00:00:00.000,2017-06-30T10:00:00Z,2017-07-02T10:00:00Z
EMSR210,AOI01,dataColomba,dataColomba/,2017-07-03T00:00:00.000,2017-07-09T10:00:00Z,2017-07-12T10:00:00Z
EMSR211,AOI01,dataColomba,dataColomba/,2017-06-28T00:00:00.000,2017-07-03T10:00:00Z,2017-07-07T10:00:00Z
EMSR213,AOI01,dataColomba,dataColomba/,2017-07-11T00:00:00.000,2017-07-21T10:00:00Z,2017-07-26T10:00:00Z
EMSR213,AOI03,dataColomba,dataColomba/,2017-07-11T00:00:00.000,2017-07-20T10:00:00Z,2017-07-23T10:00:00Z
EMSR213,AOI06,dataColomba,dataColomba/,2017-07-11T00:00:00.000,2017-07-21T10:00:00Z,2017-07-23T10:00:00Z
EMSR213,AOI07,dataColomba,dataColomba/,2017-07-11T00:00:00.000,2017-07-21T10:00:00Z,2017-07-23T10:00:00Z
EMSR213,AOI08,dataColomba,dataColomba/,2017-07-11T00:00:00.000,2017-07-21T10:00:00Z,2017-07-23T10:00:00Z
EMSR213,AOI09,dataColomba,dataColomba/,2017-07-11T00:00:00.000,2017-07-21T10:00:00Z,2017-07-23T10:00:00Z
EMSR213,AOI10,dataColomba,dataColomba/,2017-07-11T00:00:00.000,2017-07-21T10:00:00Z,2017-07-23T10:00:00Z
EMSR213,AOI11,dataColomba,dataColomba/,2017-07-11T00:00:00.000,2017-07-21T10:00:00Z,2017-07-23T10:00:00Z
EMSR213,AOI12,dataColomba,dataColomba/,2017-07-11T00:00:00.000,2017-07-28T10:00:00Z,2017-07-30T10:00:00Z
EMSR214,AOI01,dataColomba,dataColomba/,2017-07-24T00:00:00.000,2017-07-24T10:00:00Z,2017-08-24T10:00:00Z
EMSR214,AOI02,dataColomba,dataColomba/,2017-07-24T00:00:00.000,2017-07-27T10:00:00Z,2017-07-30T10:00:00Z
EMSR214,AOI03,dataColomba,dataColomba/,2017-07-24T00:00:00.000,2017-07-28T10:00:00Z,2017-07-30T10:00:00Z
