EMSR,AOI,folderType,folderPath,activationDate,suggested_startDate,suggested_endDate
EMSR207,AOI01,optimal,dataOptimal/,2017-06-20T00:00:00.000,2017-06-20T10:00:00Z,2017-07-20T10:00:00Z
EMSR209,AOI01,optimal,dataOptimal/,2017-06-27T00:00:00.000,2017-06-27T10:00:00Z,2017-07-27T10:00:00Z
EMSR210,AOI01,optimal,dataOptimal/,2017-07-08T00:00:00.000,2017-07-08T10:00:00Z,2017-08-08T10:00:00Z
EMSR211,AOI01,optimal,dataOptimal/,2017-07-08T00:00:00.000,2017-07-08T10:00:00Z,2017-08-08T10:00:00Z
EMSR213,AOI01,optimal,dataOptimal/,2017-07-14T00:00:00.000,2017-07-14T10:00:00Z,2017-08-14T10:00:00Z
EMSR213,AOI02,optimal,dataOptimal/,2017-07-18T00:00:00.000,2017-07-18T10:00:00Z,2017-08-18T10:00:00Z
EMSR213,AOI04,optimal,dataOptimal/,2017-07-18T00:00:00.000,2017-07-18T10:00:00Z,2017-08-18T10:00:00Z
EMSR213,AOI05,optimal,dataOptimal/,2017-07-17T00:00:00.000,2017-07-17T10:00:00Z,2017-08-17T10:00:00Z
EMSR213,AOI06,optimal,dataOptimal/,2017-07-18T00:00:00.000,2017-07-18T10:00:00Z,2017-08-18T10:00:00Z
EMSR213,AOI07,optimal,dataOptimal/,2017-07-18T00:00:00.000,2017-07-18T10:00:00Z,2017-08-18T10:00:00Z
EMSR213,AOI08,optimal,dataOptimal/,2017-07-19T00:00:00.000,2017-07-19T10:00:00Z,2017-08-19T10:00:00Z
EMSR213,AOI09,optimal,dataOptimal/,2017-07-19T00:00:00.000,2017-07-19T10:00:00Z,2017-08-19T10:00:00Z
EMSR213,AOI10,optimal,dataOptimal/,2017-07-18T00:00:00.000,2017-07-18T10:00:00Z,2017-08-18T10:00:00Z
EMSR213,AOI11,optimal,dataOptimal/,2017-07-18T00:00:00.000,2017-07-18T10:00:00Z,2017-08-18T10:00:00Z
EMSR213,AOI13,optimal,dataOptimal/,2017-07-18T00:00:00.000,2017-07-18T10:00:00Z,2017-08-18T10:00:00Z
EMSR213,AOI14,optimal,dataOptimal/,2017-08-08T00:00:00.000,2017-08-08T10:00:00Z,2017-09-08T10:00:00Z
EMSR213,AOI15,optimal,dataOptimal/,2017-08-08T00:00:00.000,2017-08-08T10:00:00Z,2017-09-08T10:00:00Z
EMSR213,AOI16,optimal,dataOptimal/,2017-08-08T00:00:00.000,2017-08-08T10:00:00Z,2017-09-08T10:00:00Z
EMSR213,AOI17,optimal,dataOptimal/,2017-08-13T00:00:00.000,2017-08-13T10:00:00Z,2017-09-13T10:00:00Z
EMSR213,AOI18,optimal,dataOptimal/,2017-08-30T00:00:00.000,2017-08-30T10:00:00Z,2017-09-29T10:00:00Z
EMSR213,AOI19,optimal,dataOptimal/,2017-08-29T00:00:00.000,2017-08-29T10:00:00Z,2017-09-29T10:00:00Z
EMSR213,AOI20,optimal,dataOptimal/,2017-08-29T00:00:00.000,2017-08-29T10:00:00Z,2017-09-29T10:00:00Z
EMSR213,AOI21,optimal,dataOptimal/,2017-08-29T00:00:00.000,2017-08-29T10:00:00Z,2017-09-29T10:00:00Z
EMSR213,AOI22,optimal,dataOptimal/,2017-08-31T00:00:00.000,2017-08-31T10:00:00Z,2017-09-15T10:00:00Z
EMSR214,AOI01,optimal,dataOptimal/,2017-07-28T00:00:00.000,2017-07-28T10:00:00Z,2017-08-28T10:00:00Z
EMSR214,AOI02,optimal,dataOptimal/,2017-07-28T00:00:00.000,2017-07-28T10:00:00Z,2017-09-25T10:00:00Z
