EMSR,AOI,folder,folderPath,activationDate,interval_startDate,interval_endDate,post_fire_acquisition,GRA,DEL,FEP,left_Long,bottom_Lat,right_Long,top_Lat,centerBoxLong,centerBoxLat,resolution_x,resolution_y,height,width,pixelBurned,country,koppen_group,koppen_subgroup
EMSR207,AOI01,optimal,dataOptimal/EMSR207/AOI01/EMSR207_AOI01_01,2017-06-20T00:00:00.000,2017-06-20T10:00:00Z,2017-07-05T10:00:00Z,2017/07/04_11:24:31,1,1,0,-8.386801760882912,39.76258249432149,-8.154426012503539,39.8910821355092,-8.270613886693225,39.82683231491534,0.00011753957935224,-8.911209513711e-05,1442,1977,901978,Portugal,C,Csa
EMSR207,AOI01,optimal,dataOptimal/EMSR207/AOI01/EMSR207_AOI01_04,2017-06-20T00:00:00.000,2017-06-20T10:00:00Z,2017-07-05T10:00:00Z,2017/07/04_11:24:31,1,1,0,-8.154426012503539,39.76258249432149,-7.922050264124164,39.8910821355092,-8.03823813831385,39.82683231491534,0.00011777787550906,-8.874284612411e-05,1448,1973,2629,Portugal,C,Csa
EMSR207,AOI01,optimal,dataOptimal/EMSR207/AOI01/EMSR207_AOI01_08,2017-06-20T00:00:00.000,2017-06-20T10:00:00Z,2017-07-05T10:00:00Z,2017/07/04_11:24:31,1,1,0,-7.922050264124164,39.8910821355092,-7.68967451574479,40.01958177669691,-7.805862389934477,39.95533195610306,0.00011819722704953,-8.843746812643e-05,1453,1966,60675,Portugal,C,Csb
EMSR207,AOI01,optimal,dataOptimal/EMSR207/AOI01/EMSR207_AOI01_05,2017-06-20T00:00:00.000,2017-06-20T10:00:00Z,2017-07-05T10:00:00Z,2017/07/04_11:24:31,1,1,0,-8.154426012503539,39.8910821355092,-7.922050264124164,40.01958177669691,-8.03823813831385,39.95533195610306,0.00011795723267989,-8.874284612411e-05,1448,1970,652165,Portugal,C,Csa
EMSR207,AOI01,optimal,dataOptimal/EMSR207/AOI01/EMSR207_AOI01_06,2017-06-20T00:00:00.000,2017-06-20T10:00:00Z,2017-07-05T10:00:00Z,2017/07/04_11:24:31,1,1,0,-8.154426012503539,40.01958177669691,-7.922050264124164,40.14808141788462,-8.03823813831385,40.08383159729076,0.00011819722704953,-8.874284612411e-05,1448,1966,981581,Portugal,C,Csb
EMSR207,AOI01,optimal,dataOptimal/EMSR207/AOI01/EMSR207_AOI01_02,2017-06-20T00:00:00.000,2017-06-20T10:00:00Z,2017-07-05T10:00:00Z,2017/07/04_11:24:31,1,1,0,-8.386801760882912,39.8910821355092,-8.154426012503539,40.01958177669691,-8.270613886693225,39.95533195610306,0.00011777787550906,-8.911209513711e-05,1442,1973,1928174,Portugal,C,Csb
EMSR207,AOI01,optimal,dataOptimal/EMSR207/AOI01/EMSR207_AOI01_03,2017-06-20T00:00:00.000,2017-06-20T10:00:00Z,2017-07-05T10:00:00Z,2017/07/04_11:24:31,1,1,0,-8.386801760882912,40.01958177669691,-8.154426012503539,40.14808141788462,-8.270613886693225,40.08383159729076,0.00011801713985748,-8.905034039342e-05,1443,1969,87369,Portugal,C,Csb
EMSR207,AOI01,optimal,dataOptimal/EMSR207/AOI01/EMSR207_AOI01_09,2017-06-20T00:00:00.000,2017-06-20T10:00:00Z,2017-07-05T10:00:00Z,2017/07/04_11:24:31,1,1,0,-7.922050264124164,40.01958177669691,-7.68967451574479,40.14808141788462,-7.805862389934477,40.08383159729076,0.00011843819998949,-8.843746812643e-05,1453,1962,2357,Portugal,C,Csa
EMSR207,AOI01,optimal,dataOptimal/EMSR207/AOI01/EMSR207_AOI01_07,2017-06-20T00:00:00.000,2017-06-20T10:00:00Z,2017-07-05T10:00:00Z,2017/07/04_11:24:31,1,1,0,-7.922050264124164,39.76258249432149,-7.68967451574479,39.8910821355092,-7.805862389934477,39.82683231491534,0.00011795723267989,-8.843746812643e-05,1453,1970,0,Portugal,C,Csa
EMSR207,AOI01,colomba,dataColomba/EMSR207/AOI01/EMSR207_AOI01_01,2017-06-20T00:00:00.000,2017-06-20T10:00:00Z,2017-07-05T10:00:00Z,2017/07/04_11:24:31,1,1,0,-8.386801760882912,39.76258249432149,-8.154426012503539,39.8910821355092,-8.270613886693225,39.82683231491534,0.00011753957935224,-8.911209513711e-05,1442,1977,901978,Portugal,C,Csa
EMSR207,AOI01,colomba,dataColomba/EMSR207/AOI01/EMSR207_AOI01_04,2017-06-20T00:00:00.000,2017-06-20T10:00:00Z,2017-07-05T10:00:00Z,2017/07/04_11:24:31,1,1,0,-8.154426012503539,39.76258249432149,-7.922050264124164,39.8910821355092,-8.03823813831385,39.82683231491534,0.00011777787550906,-8.874284612411e-05,1448,1973,2629,Portugal,C,Csa
EMSR207,AOI01,colomba,dataColomba/EMSR207/AOI01/EMSR207_AOI01_08,2017-06-20T00:00:00.000,2017-06-20T10:00:00Z,2017-07-05T10:00:00Z,2017/07/04_11:24:31,1,1,0,-7.922050264124164,39.8910821355092,-7.68967451574479,40.01958177669691,-7.805862389934477,39.95533195610306,0.00011819722704953,-8.843746812643e-05,1453,1966,60675,Portugal,C,Csb
EMSR207,AOI01,colomba,dataColomba/EMSR207/AOI01/EMSR207_AOI01_05,2017-06-20T00:00:00.000,2017-06-20T10:00:00Z,2017-07-05T10:00:00Z,2017/07/04_11:24:31,1,1,0,-8.154426012503539,39.8910821355092,-7.922050264124164,40.01958177669691,-8.03823813831385,39.95533195610306,0.00011795723267989,-8.874284612411e-05,1448,1970,652165,Portugal,C,Csa
EMSR207,AOI01,colomba,dataColomba/EMSR207/AOI01/EMSR207_AOI01_06,2017-06-20T00:00:00.000,2017-06-20T10:00:00Z,2017-07-05T10:00:00Z,2017/07/04_11:24:31,1,1,0,-8.154426012503539,40.01958177669691,-7.922050264124164,40.14808141788462,-8.03823813831385,40.08383159729076,0.00011819722704953,-8.874284612411e-05,1448,1966,981581,Portugal,C,Csb
EMSR207,AOI01,colomba,dataColomba/EMSR207/AOI01/EMSR207_AOI01_02,2017-06-20T00:00:00.000,2017-06-20T10:00:00Z,2017-07-05T10:00:00Z,2017/07/04_11:24:31,1,1,0,-8.386801760882912,39.8910821355092,-8.154426012503539,40.01958177669691,-8.270613886693225,39.95533195610306,0.00011777787550906,-8.911209513711e-05,1442,1973,1928174,Portugal,C,Csb
EMSR207,AOI01,colomba,dataColomba/EMSR207/AOI01/EMSR207_AOI01_03,2017-06-20T00:00:00.000,2017-06-20T10:00:00Z,2017-07-05T10:00:00Z,2017/07/04_11:24:31,1,1,0,-8.386801760882912,40.01958177669691,-8.154426012503539,40.14808141788462,-8.270613886693225,40.08383159729076,0.00011801713985748,-8.905034039342e-05,1443,1969,87369,Portugal,C,Csb
EMSR207,AOI01,colomba,dataColomba/EMSR207/AOI01/EMSR207_AOI01_09,2017-06-20T00:00:00.000,2017-06-20T10:00:00Z,2017-07-05T10:00:00Z,2017/07/04_11:24:31,1,1,0,-7.922050264124164,40.01958177669691,-7.68967451574479,40.14808141788462,-7.805862389934477,40.08383159729076,0.00011843819998949,-8.843746812643e-05,1453,1962,2357,Portugal,C,Csa
EMSR207,AOI01,colomba,dataColomba/EMSR207/AOI01/EMSR207_AOI01_07,2017-06-20T00:00:00.000,2017-06-20T10:00:00Z,2017-07-05T10:00:00Z,2017/07/04_11:24:31,1,1,0,-7.922050264124164,39.76258249432149,-7.68967451574479,39.8910821355092,-7.805862389934477,39.82683231491534,0.00011795723267989,-8.843746812643e-05,1453,1970,0,Portugal,C,Csa
EMSR209,AOI01,optimal,dataOptimal/EMSR209/AOI01/EMSR209_AOI01_01,2017-06-27T00:00:00.000,2017-06-30T10:00:00Z,2017-07-02T10:00:00Z,2017/07/01_11:17:46,1,1,0,-6.84080509857835,37.04626970283074,-6.635914740931667,37.13970307674637,-6.738359919755009,37.09298638978856,0.00011401800648118,-8.651238325521e-05,1080,1797,485591,Spain,C,Csa
EMSR209,AOI01,optimal,dataOptimal/EMSR209/AOI01/EMSR209_AOI01_02,2017-06-27T00:00:00.000,2017-06-30T10:00:00Z,2017-07-02T10:00:00Z,2017/07/01_11:17:46,1,1,0,-6.84080509857835,37.13970307674637,-6.635914740931667,37.233136450661995,-6.738359919755009,37.18641976370419,0.00011420867204386,-8.651238325521e-05,1080,1794,382233,Spain,C,Csa
